ID,school_name,class,region,wins,losses,ties,games,AA_wins,A_wins,B_wins,C_wins,D_wins,PI,TI
1,Brunswick,A,North,,,,,,,,,,,
2,Hampden,A,North,,,,,,,,,,,
3,Camden,A,North,,,,,,,,,,,
4,Mt. Blue,A,North,,,,,,,,,,,
5,Messalonskee,A,North,,,,,,,,,,,
6,Brewer,A,North,,,,,,,,,,,
7,Lewiston,A,North,,,,,,,,,,,
8,Edward Little,A,North,,,,,,,,,,,
9,Bangor,A,North,,,,,,,,,,,
10,Mt. Ararat,A,North,,,,,,,,,,,
11,Skowhegan,A,North,,,,,,,,,,,
12,Oxford Hills,A,North,,,,,,,,,,,
13,Kennebunk,A,South,,,,,,,,,,,
14,Scarborough,A,South,,,,,,,,,,,
15,Falmouth,A,South,,,,,,,,,,,
16,Thornton,A,South,,,,,,,,,,,
17,Windham,A,South,,,,,,,,,,,
18,Cheverus,A,South,,,,,,,,,,,
19,Gorham,A,South,,,,,,,,,,,
20,Bonny Eagle,A,South,,,,,,,,,,,
21,Marshwood,A,South,,,,,,,,,,,
22,South Portland,A,South,,,,,,,,,,,
23,Portland,A,South,,,,,,,,,,,
24,Biddeford,A,South,,,,,,,,,,,
25,Sanford,A,South,,,,,,,,,,,
26,Deering,A,South,,,,,,,,,,,
27,Westbrook,A,South,,,,,,,,,,,
28,Foxcroft,B,North,,,,,,,,,,,
29,Caribou,B,North,,,,,,,,,,,
30,John Bapst,B,North,,,,,,,,,,,
31,Ellsworth,B,North,,,,,,,,,,,
32,MDI,B,North,,,,,,,,,,,
33,Waterville,B,North,,,,,,,,,,,
34,Hermon,B,North,,,,,,,,,,,
35,Presque Isle,B,North,,,,,,,,,,,
36,Belfast,B,North,,,,,,,,,,,
37,Winslow,B,North,,,,,,,,,,,
38,Old Town,B,North,,,,,,,,,,,
39,Oceanside,B,North,,,,,,,,,,,
40,Lincoln,B,South,,,,,,,,,,,
41,Cape Elizabeth,B,South,,,,,,,,,,,
42,Greely,B,South,,,,,,,,,,,
43,Yarmouth,B,South,,,,,,,,,,,
44,Erskine,B,South,,,,,,,,,,,
45,Freeport,B,South,,,,,,,,,,,
46,Cony,B,South,,,,,,,,,,,
47,Medomak,B,South,,,,,,,,,,,
48,York,B,South,,,,,,,,,,,
49,Gardiner,B,South,,,,,,,,,,,
50,Lake Region,B,South,,,,,,,,,,,
51,Morse,B,South,,,,,,,,,,,
52,Washington,C,North,,,,,,,,,,,
53,MCI,C,North,,,,,,,,,,,
54,Orono,C,North,,,,,,,,,,,
55,George Stevens,C,North,,,,,,,,,,,
56,Fort Kent,C,North,,,,,,,,,,,
57,Piscataquis,C,North,,,,,,,,,,,
58,Calais,C,North,,,,,,,,,,,
59,Mattanawcook,C,North,,,,,,,,,,,
60,Dexter,C,North,,,,,,,,,,,
61,Van Buren/Wisdom,C,North,,,,,,,,,,,
62,Schenck/Stearns,C,North,,,,,,,,,,,
63,Penobscot,C,North,,,,,,,,,,,
64,Houlton,C,North,,,,,,,,,,,
65,Deer Isle,C,North,,,,,,,,,,,
66,Shead,C,North,,,,,,,,,,,
67,Woodland,C,North,,,,,,,,,,,
68,Madawaska,C,North,,,,,,,,,,,
69,Hall-Dale,C,South,,,,,,,,,,,
70,Spruce Mountain,C,South,,,,,,,,,,,
71,Maranacook,C,South,,,,,,,,,,,
72,Waynflete,C,South,,,,,,,,,,,
73,Winthrop,C,South,,,,,,,,,,,
74,Boothbay,C,South,,,,,,,,,,,
75,Dirigo,C,South,,,,,,,,,,,
76,Madison,C,South,,,,,,,,,,,
77,Mountain Valley,C,South,,,,,,,,,,,
78,North Yarmouth,C,South,,,,,,,,,,,
79,Oak Hill,C,South,,,,,,,,,,,
