ID,Win_ID,Lose_ID,Tie_ID_1,Tie_ID_2
1,MDI,Spruce_Mountain,,
2,MDI,Ellsworth,,
3,MDI,Camden,,
4,MDI,Gray,,
5,MDI,Lake_Region,,
6,Morse,Mt_Ararat,,
7,Morse,Gray,,
8,Morse,Lake_Region,,
9,Morse,Camden,,
10,Morse,Greely,,
11,Waterville,Ellsworth,,
12,Waterville,Greely,,
13,Waterville,MDI,,
14,Waterville,Morse,,
15,Camden,Ellsworth,,
16,Camden,Waterville,,
17,Ellsworth,Lake_Region,,
18,Mt_Ararat,Lake_Region,,
19,Mt_Ararat,Camden,,
20,Mt_Ararat,Gray,,
21,Mt_Ararat,Greely,,
22,Mt_Ararat,Spruce_Mountain,,
23,Mt_Ararat,Waterville,,
24,Mt_Ararat,Yarmouth,,
25,Yarmouth,Lake_Region,,
26,Yarmouth,Camden,,
27,Yarmouth,Gray,,
28,Yarmouth,MDI,,
29,Yarmouth,Morse,,
30,Yarmouth,Greely,,
31,Yarmouth,Ellsworth,,
32,Spruce_Mountain,Ellsworth,,
33,Spruce_Mountain,Morse,,
34,Spruce_Mountain,Waterville,,
35,Spruce_Mountain,Camden,,
36,Spruce_Mountain,Greely,,
37,Gray,Greely,,
38,Gray,Lake_Region,,
39,Gray,Ellsworth,,
40,Lake_Region,Greely,,
