ID,Win_ID,Lose_ID,Tie_ID_1,Tie_ID_2
1,Brunswick,Camden,,
2,Brunswick,Edward Little,,
3,Brunswick,Freeport,,
4,Brunswick,Mt. Ararat,,
5,Brunswick,Morse,,
6,Brunswick,Freeport,,
7,Brunswick,Mt. Blue,,
8,Brunswick,Edward Little,,
9,Brunswick,Mt. Ararat,,
10,Brunswick,Camden,,
11,Brunswick,Lewiston,,
12,Hampden,Bangor,,
13,Hampden,Brewer,,
14,Hampden,John Bapst,,
15,Hampden,Skowhegan,,
16,Hampden,Hermon,,
17,Hampden,Brewer,,
18,Hampden,Bangor,,
19,Hampden,Skowhegan,,
20,Hampden,John Bapst,,
21,Camden,Medomak,,
22,Camden,Mt. Ararat,,
23,Camden,Oceanside,,
24,Camden,Mt. Blue,,
25,Camden,Lewiston,,
26,Camden,Belfast,,
27,Camden,Mt. Ararat,,
28,Camden,Edward Little,,
29,Camden,Medomak,,
30,Mt. Blue,Edward Little,,
31,Mt. Blue,Lewiston,,
32,Mt. Blue,Skowhegan,,
33,Mt. Blue,Waterville,,
34,Mt. Blue,Oxford Hills,,
35,Mt. Blue,Messalonskee,,
36,Mt. Blue,Skowhegan,,
37,Mt. Blue,Lewiston,,
38,Mt. Blue,Edward Little,,
39,Messalonskee,Cony,,
40,Messalonskee,Waterville,,
41,Messalonskee,Mt. Ararat,,
42,Messalonskee,Winslow,,
43,Messalonskee,Mt. Blue,,
44,Messalonskee,Oxford Hills,,
45,Messalonskee,Lewiston,,
46,Messalonskee,Skowhegan,,
47,Messalonskee,Skowhegan,,
48,Brewer,Skowhegan,,
49,Brewer,Bangor,,
50,Brewer,Belfast,,
51,Brewer,Skowhegan,,
52,Brewer,Belfast,,
53,Brewer,Bangor,,
54,Lewiston,Oxford Hills,,
55,Lewiston,Mt. Ararat,,
56,Lewiston,Edward Little,,
57,Lewiston,Mt. Ararat,,
58,Lewiston,Oxford Hills,,
59,Edward Little,Oxford Hills,,
60,Edward Little,Lewiston,,
61,Edward Little,Morse,,
62,Edward Little,Mt. Ararat,,
63,Bangor,Skowhegan,,
64,Bangor,Skowhegan,,
65,Mt. Ararat,Oxford Hills,,
66,Mt. Ararat,Morse,,
67,Skowhegan,Winslow,,
68,Kennebunk,Portland,,
69,Kennebunk,Falmouth,,
70,Kennebunk,Cheverus,,
71,Kennebunk,Sanford,,
72,Kennebunk,Biddeford,,
73,Kennebunk,Windham,,
74,Kennebunk,South Portland,,
75,Kennebunk,Marshwood,,
76,Kennebunk,Gorham,,
77,Kennebunk,Deering,,
78,Kennebunk,Thornton,,
79,Kennebunk,Bonny Eagle,,
80,Scarborough,South Portland,,
81,Scarborough,Gorham,,
82,Scarborough,Westbrook,,
83,Scarborough,Marshwood,,
84,Scarborough,Falmouth,,
85,Scarborough,Bonny Eagle,,
86,Scarborough,Deering,,
87,Scarborough,Cheverus,,
88,Scarborough,Windham,,
89,Scarborough,Portland,,
90,Scarborough,Sanford,,
91,Scarborough,Biddeford,,
92,Falmouth,Marshwood,,
93,Falmouth,Bonny Eagle,,
94,Falmouth,South Portland,,
95,Falmouth,Portland,,
96,Falmouth,Thornton,,
97,Falmouth,Westbrook,,
98,Falmouth,Windham,,
99,Falmouth,Gorham,,
100,Falmouth,Deering,,
101,Falmouth,Cheverus,,
102,Thornton,Westbrook,,
103,Thornton,Deering,,
104,Thornton,Cheverus,,
105,Thornton,Portland,,
106,Thornton,Sanford,,
107,Thornton,Biddeford,,
108,Thornton,Marshwood,,
109,Thornton,Gorham,,
110,Thornton,Bonny Eagle,,
111,Windham,South Portland,,
112,Windham,Thornton,,
113,Windham,Bonny Eagle,,
114,Windham,Westbrook,,
115,Windham,Sanford,,
116,Windham,Gorham,,
117,Windham,Deering,,
118,Windham,Portland,,
119,Cheverus,Biddeford,,
120,Cheverus,Marshwood,,
121,Cheverus,Bonny Eagle,,
122,Cheverus,Deering,,
123,Cheverus,South Portland,,
124,Cheverus,Sanford,,
125,Cheverus,Westbrook,,
126,Cheverus,Windham,,
127,Gorham,South Portland,,
128,Gorham,Sanford,,
129,Gorham,Biddeford,,
130,Gorham,Westbrook,,
131,Gorham,Marshwood,,
132,Gorham,Portland,,
133,Gorham,Deering,,
134,Bonny Eagle,Westbrook,,
135,Bonny Eagle,Deering,,
136,Bonny Eagle,Portland,,
137,Bonny Eagle,Sanford,,
138,Bonny Eagle,Biddeford,,
139,Bonny Eagle,Marshwood,,
140,Marshwood,Deering,,
141,Marshwood,Portland,,
142,Marshwood,Sanford,,
143,Marshwood,Biddeford,,
144,Marshwood,South Portland,,
145,South Portland,Deering,,
146,South Portland,Portland,,
147,South Portland,Sanford,,
148,South Portland,Westbrook,,
149,South Portland,Biddeford,,
150,Portland,Biddeford,,
151,Portland,Westbrook,,
152,Biddeford,Deering,,
153,Biddeford,Sanford,,
154,Biddeford,Westbrook,,
155,Sanford,Portland,,
156,Sanford,Westbrook,,
157,Deering,Westbrook,,
158,Foxcroft,Old Town,,
159,Foxcroft,MCI,,
160,Foxcroft,Dexter,,
161,Foxcroft,Hermon,,
162,Foxcroft,Piscataquis,,
163,Foxcroft,Old Town,,
164,Foxcroft,Piscataquis,,
165,Foxcroft,Hampden,,
166,Foxcroft,Dexter,,
167,Caribou,Hermon,,
168,Caribou,Hermon,,
169,Caribou,Houlton,,
170,Caribou,Presque Isle,,
171,Caribou,Madawaska,,
172,Caribou,Presque Isle,,
173,Caribou,Houlton,,
174,Caribou,Fort Kent,,
175,Caribou,Fort Kent,,
176,Caribou,Madawaska,,
177,John Bapst,Old Town,,
178,John Bapst,Hermon,,
179,John Bapst,Bangor,,
180,John Bapst,Presque Isle,,
181,John Bapst,Presque Isle,,
182,John Bapst,Old Town,,
183,John Bapst,Hermon,,
184,John Bapst,Caribou,,
185,John Bapst,Caribou,,
186,John Bapst,Bangor,,
187,Ellsworth,Bangor,,
188,Ellsworth,Belfast,,
189,Ellsworth,Belfast,,
190,Ellsworth,Hampden,,
191,Ellsworth,Washington,,
192,Ellsworth,Bangor,,
193,Ellsworth,Hermon,,
194,Ellsworth,Hampden,,
195,MDI,Old Town,,
196,MDI,Brewer,,
197,MDI,Belfast,,
198,MDI,Bangor,,
199,MDI,Bangor,,
200,MDI,Ellsworth,,
201,MDI,Belfast,,
202,MDI,Old Town,,
203,MDI,Brewer,,
204,MDI,Ellsworth,,
205,Waterville,Belfast,,
206,Waterville,Medomak,,
207,Waterville,Erskine,,
208,Waterville,Skowhegan,,
209,Waterville,Winslow,,
210,Waterville,Cony,,
211,Waterville,Winslow,,
212,Waterville,Messalonskee,,
213,Hermon,Old Town,,
214,Hermon,Ellsworth,,
215,Hermon,Presque Isle,,
216,Hermon,Presque Isle,,
217,Hermon,Old Town,,
218,Presque Isle,Madawaska,,
219,Presque Isle,Houlton,,
220,Presque Isle,Fort Kent,,
221,Presque Isle,Madawaska,,
222,Presque Isle,Houlton,,
223,Belfast,Oceanside,,
224,Belfast,Oceanside,,
225,Winslow,Oceanside,,
226,Lincoln,Medomak,,
227,Lincoln,Maranacook,,
228,Lincoln,Gardiner,,
229,Lincoln,Morse,,
230,Lincoln,Brunswick,,
231,Lincoln,Erskine,,
232,Lincoln,Camden,,
233,Lincoln,Oceanside,,
234,Lincoln,Medomak,,
